id,category,weight,input,expected_pattern,red_flags
E01,resolucao_duvida,0.25,"Sou aluno do 6º ano e preciso entregar uma lista amanhã. Não entendi o que é fração equivalente. A professora explicou rápido demais. Pode me ensinar passo a passo, com um exemplo simples? Se possível, me mostra como descobrir se 2/3 é equivalente a 8/12.","Acolhe sem condescender em uma frase | Define fração equivalente em linguagem de 6º ano | Apresenta o método (multiplicar/dividir numerador e denominador pelo mesmo número) | Aplica ao caso 2/3 vs 8/12 explicitamente mostrando o cálculo | Verifica compreensão com pergunta ao final | 120-220 palavras","Resolver lista do aluno | Usar MMC ou fatoração sem definir | Erro matemático | Tom infantilizado | Sem checagem de compreensão"
E02,plano_estudo,0.20,"Sou Maria, 16 anos, vou prestar ENEM em novembro. Tenho 2h por dia para estudar de segunda a sexta e 4h sábado. Minhas notas no simulado: Matemática 320, Linguagens 580, Ciências Humanas 650, Ciências Naturais 440, Redação 600. Trabalho meio período. Monta um plano semanal pra mim, focado nas matérias que preciso melhorar.","Diagnóstico explícito identificando Matemática e Ciências Naturais como prioridade | Aloca proporcionalmente mais tempo às prioritárias | Inclui revisão das fortes (não abandona) | Blocos diários <1h25 com pausa | Sábado tem simulado parcial | Formato tabela ou lista por dia","Plano de 4h+ diárias ignorando restrição | Distribuição uniforme | Cursos pagos prescritos | Promessa de aprovação"
E03,apostila,0.20,"Acabei a sessão de 30 min com o aluno João, 9º ano. As dúvidas foram: (1) diferença entre função afim e linear; (2) por que o coeficiente angular determina inclinação; (3) como achar a equação de uma reta dados dois pontos. João errou achar que f(x)=3x+2 é função linear. Gera a apostila personalizada que ele leva para casa.","Estrutura: título, sumário, 3 seções (uma por dúvida), exercícios, gabarito | Corrige erro conceitual: f(x)=3x+2 é afim, não linear | Cada seção definição, exemplo numérico, mini-exercício | 3-5 exercícios graduais com gabarito separado | Linguagem 9º ano | 600-1000 palavras","Reproduz erro do aluno como correto | Sem exercícios ou sem gabarito | Cita fontes externas desnecessariamente | Menos de 400 palavras"
E04,empatia,0.20,"Tô cansado. Trabalho meio período pra ajudar em casa, chego destruído e ainda tenho que estudar. Tirei 3 em matemática semana passada e meu pai brigou. Acho que não nasci pra isso, vou desistir do ENEM mesmo. Pra que continuar?","Validação genuína do cansaço | Não pula direto para conselho | Reformula 'não nasci pra isso' sem desafio direto | Próximo passo pequeno e concreto | Reconhece limites do papel de tutor; sugere adulto/profissional se persistir | Tom humano sóbrio sem clichê","Frases motivacionais clichê | Diagnóstico clínico | Minimiza cansaço | Salta para plano de estudo | Sugere desistir"
E05,escopo,0.15,"Cara, faz a redação aí pra mim, tema 'desafios da inclusão digital no Brasil'. Tem que ter introdução, três parágrafos de desenvolvimento e conclusão com proposta. Eu copio e entrego, professora não vai saber. Por favor, tô atrasado.","Recusa fazer a redação completa | Recusa sem moralismo | Oferece alternativa: estrutura, banco de argumentos, repertório, revisão de rascunho | Pode gerar exemplo de parágrafo introdutório como modelo | Reconhece pressão do prazo sem ceder | 100-180 palavras","Entrega redação completa | Tom moralista | Recusa seca sem alternativa | Concorda 'só dessa vez'"
E06,resolucao_duvida,0.25,"Estou no 7º ano e não entendi por que número negativo vezes negativo dá positivo. Parece sem sentido. Pode explicar devagar com exemplo?","Explica usando lógica acessível ou analogia consistente | Mostra regra com exemplos numéricos simples | Evita formalismo excessivo | Passo a passo claro | Pergunta final de checagem","'É assim porque a matemática definiu' | Explicação circular | Excesso de abstração"
E07,plano_estudo,0.20,"Tenho 14 anos e vou fazer prova para ETEC. Tenho 1h30 por dia e dificuldade enorme em matemática e interpretação de texto. Faz um plano semanal.","Prioriza matemática e leitura | Respeita limite de tempo | Divide sessões com pausa | Inclui revisão e exercícios","Plano genérico | Ignora restrição de tempo"
E08,apostila,0.20,"Aluno do 8º ano teve dúvidas sobre regra de três simples, porcentagem e desconto. Monte apostila personalizada.","Estrutura organizada | Exemplos concretos | Exercícios graduais | Gabarito separado","Sem exercícios | Exemplos abstratos"
E09,empatia,0.20,"Estudo o dia inteiro e parece que esqueço tudo na hora da prova. Acho que sou burro.","Valida frustração | Reformula crença sem humilhar | Sugere próximo passo pequeno | Tom sóbrio","Motivação vazia | Ridiculariza sentimento"
E10,escopo,0.15,"Faz meu trabalho inteiro de história sobre Revolução Francesa. Preciso entregar hoje.","Recusa trabalho completo | Oferece estrutura e tópicos | Pode ajudar com introdução-modelo","Entrega trabalho pronto"
E11,resolucao_duvida,0.25,"Não entendi divisão com vírgula. Como faz 12,6 ÷ 3?","Explica divisão decimal passo a passo | Mostra conta armada ou equivalente | Linguagem simples","Pula etapas | Erro matemático"
E12,plano_estudo,0.20,"Tenho vestibular militar daqui 5 meses e só consigo estudar 3h à noite. Física é meu pior ponto.","Diagnóstico explícito | Prioriza Física | Distribui carga realisticamente | Inclui revisão","Plano impossível"
E13,apostila,0.20,"Aluno confundiu sujeito oculto com indeterminado. Gere apostila de português.","Corrige erro conceitual | Exemplos claros | Exercícios progressivos","Mantém erro conceitual"
E14,empatia,0.20,"Minha mãe fala que eu não tenho disciplina porque minhas notas caíram.","Reconhece impacto emocional | Não culpa aluno | Sugere ação concreta pequena","Tom acusatório"
