id,category,weight,input,expected_pattern,red_flags
D01,empatia_problema,0.20,"Como reduzir a rotatividade dos meus funcionários? Sou dona de uma rede com 4 cafeterias na zona sul de São Paulo, 28 funcionários no total, perdi 11 nos últimos 6 meses. Salário tá na média do setor. Não sei mais o que fazer.","Recusa diagnosticar sem reformular o problema | 4-6 hipóteses estruturadas de causa-raiz (cultura, gestão, jornada, propósito, mercado de trabalho local) | Sugere instrumentos de diagnóstico antes da solução (entrevista de saída, pulse survey, observação operacional) | Reformula a pergunta original em 2-3 perguntas mais precisas | Tom estratégico direto | 250-400 palavras","Salta para soluções (PLR, ginástica laboral, café grátis) sem diagnóstico | Lista genérica de boas práticas de RH | Promessa quantificada (reduz turnover em X%) | Não distingue causas estruturais de operacionais"
D02,pesquisa_tendencias,0.20,"Quero lançar um SaaS de gestão financeira para microempreendedores individuais (MEIs) no Brasil. Já existem N concorrentes. Qual é o panorama atual de tendências, dores não atendidas e brechas de mercado nesse segmento? Vou usar isso pra decidir se entro ou não.","Distingue claramente fato de hipótese | 3-5 tendências macro com sinal de origem (regulação, comportamento, tecnologia, capital) | Mapa de dores não atendidas específicas | Identifica 2-3 brechas defensáveis não óbvias | Aponta limites do que pode afirmar sem dados primários | Recomenda próximo passo de validação","Inventa estatísticas com aparência de precisão | Cita concorrentes ou produtos inexistentes | Apresenta opinião como dado | 'Mercado em crescimento' sem qualificar | Recomenda decisão de entrada/saída sem dados"
D03,ideacao_divergente,0.20,"Problema reformulado: 'Como podemos reduzir o tempo de aprendizado de um novo barista para 7 dias sem comprometer a qualidade do atendimento?' Gera 12 ideias divergentes, deliberadamente diversas em ambição e custo, incluindo soluções tecnológicas, comportamentais e de processo. Não filtre por viabilidade ainda.","Exatamente 12 ideias enumeradas | Diversidade explícita misturando ambição e tipo (tech, processo, cultura, design de loja) | Cada ideia: descrição em 1 frase + mecanismo causal em 1 frase | Inclui pelo menos 1 contraintuitiva e 1 inversa | Não rankeia nem filtra | Vocabulário consistente com setor","Quantidade diferente de 12 | Variantes da mesma ideia | Filtragem prematura (estas três são as melhores) | Ideias genéricas sem mecanismo"
D04,convergencia,0.20,"Aqui vão as 12 ideias geradas no passo anterior. Aplique uma matriz de viabilidade considerando custo de implementação, tempo até resultado mensurável, risco operacional e potencial de impacto. Recomende 3 finalistas para teste e justifique o corte das outras 9.","Matriz visível com 4 dimensões para cada ideia | Justificativa do corte por ideia rejeitada | 3 finalistas com cobertura diversa | Trade-offs explícitos | Riscos específicos das finalistas | Sequência sugerida de teste","Ranqueia sem mostrar matriz | Escolhe 3 mais fáceis sem considerar impacto | Justificativa de corte ausente para as 9 | Sem trade-off declarado"
D05,hipotese_canvas,0.20,"A ideia escolhida foi: 'Implementar um sistema de microcertificações diárias durante o onboarding do barista'. Formata isso como uma hipótese testável estilo Lean: público-alvo, comportamento esperado, mecanismo de mudança, métrica de validação, critério de sucesso quantitativo, prazo do experimento, e o menor experimento possível (smoke test) para validar antes de investir. Saída em JSON.","JSON válido sem texto extra | Schema com os 7 campos exatos | Critério de sucesso quantitativo e mensurável | Prazo realista em semanas | Smoke test não exige produto final | Mecanismo causal explícito","JSON inválido ou com markdown wrapper | Critério de sucesso vago (aumentar engajamento) | Smoke test do tamanho do produto | Métrica vaidade | Prazo > 90 dias"
D06,empatia_problema,0.20,"Tenho uma clínica odontológica com 3 unidades e estou percebendo muitas faltas em consultas marcadas. A agenda vive cheia no sistema, mas o faturamento não acompanha. Como descubro o que está acontecendo?","Recusa concluir sem investigar fluxo completo | 4-6 hipóteses estruturadas (perfil do paciente, confirmação, tempo de espera, preço, experiência) | Diferencia ausência operacional de demanda artificial | Sugere coleta de dados qualitativos e quantitativos | Reformula problema em perguntas investigáveis","Assume que o problema é preço | Sugere desconto imediato | Ignora no-show como fenômeno multifatorial | Não diferencia ocupação de comparecimento"
D07,pesquisa_tendencias,0.20,"Quero criar uma startup de IA para automatizar análise jurídica de contratos de pequenas empresas no Brasil. Existe espaço real ou já virou commodity?","Mapeia maturidade do mercado | Diferencia automação documental de inteligência jurídica | Identifica limites regulatórios e operacionais | Aponta lacunas específicas para PME | Explicita hipóteses que exigem validação","Afirma saturação sem evidência | Trata IA jurídica como homogênea | Ignora LGPD e responsabilidade legal | Recomenda entrar ou desistir sem análise"
D08,ideacao_divergente,0.20,"Como podemos reduzir o tempo de resposta do suporte técnico de um e-commerce sem aumentar equipe? Gere 12 ideias radicalmente diferentes.","12 ideias distintas | Mistura automação, design operacional, autoatendimento e comportamento | Cada ideia contém mecanismo causal | Inclui soluções low-tech e high-tech | Não prioriza","Menos de 12 ideias | Ideias repetidas | Foco apenas em chatbot | Falta mecanismo causal"
D09,convergencia,0.20,"Avalie as ideias para melhorar suporte considerando impacto no NPS, custo, risco de erro e dependência tecnológica.","Matriz explícita com 4 critérios | Trade-offs claros | Justificativa individual de descarte | Diversidade nas finalistas","Escolhe apenas soluções baratas | Ignora risco operacional | Sem racional de descarte"
D10,hipotese_canvas,0.20,"Hipótese escolhida: 'Implementar triagem automática por intenção antes do atendimento humano'. Gere JSON Lean Test.","JSON válido | Campos completos | Métrica quantitativa | Experimento pequeno e rápido | Critério mensurável","JSON quebrado | Métrica subjetiva | Experimento complexo"
